Data.Medicao;PRECIPITACAO_TOTAL
01/01/2014;7,125
01/02/2014;39,938
01/03/2014;61,938
01/04/2014;73,750
01/05/2014;183,500
01/06/2014;89,813
01/07/2014;133,313
01/08/2014;57,000
01/09/2014;67,000
01/10/2014;129,188
01/11/2014;40,125
01/12/2014;23,375
01/01/2015;6,000
01/02/2015;24,875
01/03/2015;53,688
01/04/2015;17,188
01/05/2015;130,563
01/06/2015;187,500
01/07/2015;154,875
01/08/2015;46,875
01/09/2015;29,625
01/10/2015;19,000
01/11/2015;2,188
01/12/2015;6,563
01/01/2016;104,625
01/02/2016;20,625
01/03/2016;54,375
01/04/2016;65,438
01/05/2016;83,813
01/06/2016;66,375
01/07/2016;69,125
01/08/2016;25,313
01/09/2016;31,000
01/10/2016;13,250
01/11/2016;18,438
01/12/2016;27,500
01/01/2017;14,563
01/02/2017;22,313
01/03/2017;52,188
01/04/2017;140,625
01/05/2017;195,000
01/06/2017;126,313
01/07/2017;99,188
01/08/2017;50,250
01/09/2017;73,750
01/10/2017;27,563
01/11/2017;13,750
01/12/2017;63,750
01/01/2018;29,750
01/02/2018;45,250
01/03/2018;79,188
01/04/2018;68,375
01/05/2018;82,125
01/06/2018;66,563
01/07/2018;58,625
01/08/2018;23,813
01/09/2018;21,188
01/10/2018;20,063
01/11/2018;55,500
01/12/2018;30,813
01/01/2019;44,188
01/02/2019;48,875
01/03/2019;183,063
01/04/2019;62,625
01/05/2019;43,750
01/06/2019;91,875
01/07/2019;92,875
01/08/2019;43,750
01/09/2019;29,563
01/10/2019;12,563
01/11/2019;10,688
01/12/2019;40,750
01/01/2020;81,750
01/02/2020;51,688
01/03/2020;177,313
01/04/2020;85,313
01/05/2020;142,938
01/06/2020;89,688
01/07/2020;66,000
01/08/2020;44,625
01/09/2020;59,688
01/10/2020;56,313
01/11/2020;48,938
01/12/2020;20,680
01/01/2021;35,313
01/02/2021;14,313
01/03/2021;39,242
01/04/2021;123,695
01/05/2021;102,695
01/06/2021;69,109
01/07/2021;98,555
01/08/2021;57,203
01/09/2021;42,992
01/10/2021;21,367
01/11/2021;114,055
01/12/2021;189,086
01/01/2022;58,078
01/02/2022;20,602
01/03/2022;122,266
01/04/2022;73,180
01/05/2022;318,539
01/06/2022;136,844
01/07/2022;98,961
01/08/2022;73,773
01/09/2022;36,859
01/10/2022;28,781
